calculo,C. FísICO,C. BiológICO,MecanICO,Servicio social,Literario,Persuasivo,ArtístICO,Musical,valor_amai_normalizado,CARRERA_ACTUAL
0.745306,0.48,0.488167,0.770611,0.32,0.409389,0.4,0.415917,0.569389,0.45,ICO
0.817477,0.862523,0.632616,0.932431,0.667569,0.622523,0.774954,0.645046,0.767569,0.493333,ISC
0.9,0.56,0.46,0.76,0.42,0.42,0.44,0.34,0.54,0.626667,ICO
0.44,0.5,0.44,0.48,0.48,0.46,0.5,0.58,0.48,0.42,LIA
0.446556,0.46,0.462296,0.424592,0.573444,0.76,0.533444,0.54,0.562296,0.506667,LLE
0.289127,0.4,0.435436,0.393155,0.586845,0.66,0.577718,0.522282,0.675436,0.44,LLE
0.800279,0.706853,0.566853,0.793147,0.68,0.526295,0.666295,0.539164,0.633147,0.433333,ISC
0.42,0.36,0.4,0.38,0.54,0.74,0.54,0.42,0.76,0.403333,LLE
0.482711,0.696777,0.68,0.734066,0.757289,0.562711,0.654066,0.699488,0.76,0.243333,LIA
0.36,0.470065,0.450323,0.350065,0.629935,0.719742,0.52,0.679871,0.709935,0.26,LLE
0.400666,0.48,0.373444,0.400333,0.686556,0.753444,0.573777,0.606556,0.867554,0.433333,LLE
0.756529,0.431735,0.463471,0.716529,0.388265,0.297852,0.508265,0.396529,0.58,0.703333,ICO
0.614197,0.655268,0.791606,0.711606,0.658929,0.630535,0.750535,0.655268,0.7,0.51,LIA
0.54128,0.817441,0.7534,0.74936,0.772121,0.67064,0.881481,0.897441,0.94128,0.553333,LIA
0.763803,0.48,0.37042,0.792395,0.351408,0.24,0.396197,0.427605,0.523803,0.653333,ICO
0.58,0.82,0.68,0.9,0.76,0.68,0.58,0.66,0.68,0.376667,ISC
0.800275,0.880275,0.72055,0.87945,0.721924,0.6411,0.740275,0.6811,0.820825,0.303333,ISC
0.738488,0.91157,0.874593,0.92,0.767674,0.6,0.603895,0.753837,0.933081,0.356667,ISC
0.36,0.5,0.43497,0.336647,0.738323,0.72503,0.696647,0.466706,0.66503,0.71,LLE
0.36,0.48,0.48,0.38,0.58,0.8,0.66,0.58,0.72,0.406667,LLE
0.9,0.96,0.86,0.96,0.88,0.72,0.6,0.76,0.72,0.323333,ISC
0.368879,0.53556,0.471121,0.39556,0.688879,0.72444,0.54444,0.486637,0.66,0.403333,LLE
0.36,0.5,0.44,0.34,0.74,0.72,0.7,0.46,0.66,0.403333,LLE
0.76,0.40307,0.508465,0.788465,0.385767,0.371535,0.482698,0.417302,0.594233,0.476667,ICO
0.614433,0.662783,0.54835,0.613917,0.599484,0.497217,0.531134,0.582267,0.91165,0.59,ISC
0.358465,0.469233,0.429233,0.409233,0.730767,0.733836,0.549233,0.58,0.761535,0.45,LLE
0.381737,0.458263,0.467394,0.316526,0.62,0.690869,0.541737,0.638263,0.7,0.45,LLE
0.75672,0.616402,0.617037,0.74,0.61672,0.57672,0.599682,0.646561,0.706878,0.353333,ISC
0.617271,0.618164,0.63087,0.790918,0.727246,0.784565,0.797271,0.483623,0.769082,0.59,LIA
0.918501,0.522998,0.46,0.76,0.401499,0.364498,0.421499,0.377002,0.502998,0.39,ICO
0.571641,0.728359,0.646985,0.637672,0.737672,0.688359,0.684656,0.533969,0.770687,0.326667,LIA
0.836126,0.849443,0.736658,0.830557,0.738886,0.64,0.571671,0.770557,0.842228,0.48,ISC
0.651148,0.751148,0.60213,0.797704,0.693278,0.573278,0.490981,0.695574,0.751148,0.453333,ISC
0.82,0.6,0.4,0.82,0.42,0.46,0.5,0.42,0.54,0.463333,ICO
0.84,0.64,0.48,0.74,0.4,0.38,0.42,0.44,0.52,0.41,ICO
0.573881,0.712239,0.598358,0.473431,0.726119,0.602835,0.763284,0.575523,0.78,0.42,LIA
0.742094,0.882094,0.788953,0.676391,0.715813,0.717328,0.551047,0.815234,0.855234,0.493333,ISC
0.840891,0.538218,0.460891,0.74,0.496436,0.400891,0.48,0.460891,0.602673,0.323333,ICO
0.76,0.48,0.38,0.7,0.4,0.42,0.42,0.52,0.48,0.3,ICO
0.385273,0.475788,0.483151,0.343151,0.624212,0.671576,0.507363,0.66,0.687363,0.71,LLE
0.610694,0.76,0.742774,0.726532,0.794451,0.758613,0.777226,0.798613,0.9,0.403333,LIA
0.558225,0.740887,0.64,0.635563,0.741775,0.7,0.68355,0.529761,0.782662,0.47,LIA
