No. de cuenta / control,Año de nacimiento,Grado que cursas actualmente:,¿Cuál es el ingreso familiar mensual?,¿Cuál es el ingreso personal mensual?,"Pensando en el jefe o jefa del hogar , ¿cuál fue el último grado de estudios que aprobó en la escuela?",Ocupación actual del padre,Ocupación actual de la madre,"¿Cuántos automóviles, camionetas cerradas, vans o pick-ups tiene este hogar?",Seleccione los servicios y bienes con los que cuenta en su casa,"Sin tomar en cuenta la conexión móvil desde algún celular, ¿su hogar cuenta con internet?",¿Cuántos cuartos tiene su casa que se utilizan para dormir?,"¿Cuántas personas viven en su casa, incluido usted?",¿Cuántos baños completos tiene esta vivienda con excusado/WC y regadera?,¿Cuántas personas de 14 años o más trabajan actualmente o trabajaron el mes pasado?,"A la semana, ¿qué tanto consume los siguientes alimentos? [Carne]","A la semana, ¿qué tanto consume los siguientes alimentos? [Huevos]","A la semana, ¿qué tanto consume los siguientes alimentos? [Leche]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frutas y verduras]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frijoles/arroz/lentejas]","A la semana, ¿qué tanto consume los siguientes alimentos? [Pan]","A la semana, ¿qué tanto consume los siguientes alimentos? [Cereales]",origen_registro
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Empleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Diccionario o enciclopedia,Si,1,5,1,2,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,2,1,2,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,3–5 porciones,1–2 porciones,real
,2007,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,3,2,1,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,real
,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,No,2,4,1,3,1–2 porciones,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,real
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Trabajo informal/obrera,1,Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,2,3,1,2,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,real
,2009,Secundaria.,"$10,001–20,000",No tengo ingresos,Carrera técnica,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,3,1,1,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,Más de 10,3–5 porciones,3–5 porciones,real
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Videograbadora,Si,2,4,1,2,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,6–10 porciones,6–10 porciones,3–5 porciones,real
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Televisión; Televisión por cable o satélite; Diccionario o enciclopedia,Si,2,4,1,2,3–5 porciones,3–5 porciones,1–2 porciones,6–10 porciones,Más de 10,1–2 porciones,3–5 porciones,real
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,No,2,2,1,1,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,1–2 porciones,real
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Calculadora,No,2,5,1,1,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,7,1,2,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,Más de 10,3–5 porciones,6–10 porciones,real
,2010,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Profesionista,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Videograbadora; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,4,2,3,3–5 porciones,3–5 porciones,Más de 10,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,real
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Calculadora; Computadora,Si,2,2,2,2,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,real
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Videograbadora; Calculadora,No,3,3,2,3,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,6–10 porciones,Más de 10,1–2 porciones,real
,2009,Secundaria.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Trabajo informal/obrero,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,3,2,2,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,Nunca,real
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Desempleado,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión,Si,1,7,2,1,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,real
,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión; Calculadora; Computadora,Si,1,5,1,1,Nunca,6–10 porciones,Más de 10,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,real
